UK Control Count,RU Control Count
10,24
2,24
55,37
0,37
0,62
0,237
20,55
51,52
51,176
84,176
25,26
25,25
3,66
3,66
29,2
1,112
8,2
12,14
41,14
18,49
120,49
120,49
32,49
69,49
36,54
21,54
17,25
160,13
9,31
9,60
81,53
117,117
156,3
156,100
0,84
2,27
144,46
0,15
60,16
65,107
44,127
0,80
0,205
0,205
8,205
53,205
53,205
64,205
69,205
79,205
246,205
1,205
5,205
21,22
11,15
23,15
105,8
30,31
,52
,11
,11
,56
,113
,113
,77
,77
,77
,44
,27
,2
,37
,38
,38
,103
,208
,19
,14
,37
,42
,19
,247
,9
,9
,9
,36
,40
,40
,40
,40
,13
,13
,13
,13
,46
,12
,137
,53
,123
,44
,2
,87
,26
,28
,58
,38
,133
,1
,1
,26
,37
,1
,63
,20
,74
,70
,21
,134
,134
,57
,7
,16
,2
,70
,15
,100
,100
,40
,42
,105
,15
,248
,53
,70
,70
,68
,90
,126
,25
,23
,34
,16
,72
,72
,72
,94
,73
,21
,1
,67
